,author,contribution
840,anthony_trollope,0.503629197852
4658,george_meredith,0.415006592173
12276,william_henry_kingston,0.369933873105
4651,george_macdonald,0.313592677914
4334,g_a_george_alfred_henty,0.296295057625
4869,gilbert_parker,0.274336990148
12567,winston_churchill,0.266611061617
4449,georg_ebers,0.266439875709
6915,john_bunyan,0.251925031568
4242,frederick_marryat,0.245223106732
10271,robert_kerr,0.226392597593
4379,g_manville_george_manville_fenn,0.217561819071
10620,samuel_pepys,0.216372981395
4472,george_alfred_henty,0.213300960432
6209,j_lothrop_john_lothrop_motley,0.212117516461
5799,honore_de_balzac,0.210753027759
4377,g_m_george_manville_fenn,0.210255828963
4654,george_manville_fenn,0.209307011139
5209,harold_bindloss,0.206693751418
384,alexander_maclaren,0.203134528782
5554,henry_james,0.202486503832
9883,r_m_robert_michael_ballantyne,0.199656764915
12356,william_le_queux,0.199597987366
3019,edward_lytton_bulwer,0.197508549213
12266,william_henry_giles_kingston,0.19327519254
7328,john_ruskin,0.188727203104
11246,thomas_h_thomas_hart_benton,0.172684113045
1760,charles_dudley_warner,0.169062665236
2929,edward_bulwer_lytton_lytton,0.167012454923
2969,edward_gibbon,0.16421419904
9290,nathaniel_hawthorne,0.164211393524
4453,georg_moritz_ebers,0.161051838466
11185,thomas_carlyle,0.160066756375
12467,william_shakespeare,0.157545831739
6336,jacques_casanova_de_seingalt,0.156773474984
10289,robert_michael_ballantyne,0.156495442358
1501,c_m_charlotte_mary_yonge,0.153443870055
7347,john_sinjohn,0.150611226836
9453,oliver_wendell_holmes,0.145237733886
3615,eugene_sue,0.144819425428
1758,charles_dickens,0.14191353254
7639,jules_verne,0.141081163413
2272,cornelius_odowd,0.140999072416
8428,malachi_malagrowther,0.137274265027
11249,thomas_hardy,0.135727506651
11992,wilkie_collins,0.135619573289
1752,charles_darwin,0.133926443997
7916,laura_lee_hope,0.131967669818
2968,edward_george_earle_lytton_bulwerlytton,0.13153106623
9030,mile_douard_charles_antoine_zola,0.129261976227
10280,robert_louis_stevenson,0.128834935104
1312,bertram_mitford,0.12697190412
2740,e_rameur,0.125732853624
5687,henryk_sienkiewicz,0.122963769186
936,arthur_conan_doyle,0.122951786469
1365,boz,0.122814227247
415,alexandre_dumas,0.120887756024
3719,f_marion_francis_marion_crawford,0.120600990733
1863,charles_james_lever,0.119440553974
4578,george_gissing,0.119127946319
5012,guy_de_maupassant,0.118361408047
4484,george_barr_mccutcheon,0.117107707617
11645,w_d_william_dean_howells,0.115184980375
624,american_antislavery_society,0.113191502746
10595,samuel_johnson,0.112782233188
1878,charles_kingsley,0.111487734224
1945,charles_reade,0.109573621104
10438,rudyard_kipling,0.109077350895
12095,william_carleton,0.108264047427
8950,mayne_reid,0.107911036381
11297,thomas_mayne_reid,0.107852979968
2438,david_hume,0.107166013656
11420,tobias_smollet,0.106891784283
10348,robert_william_chambers,0.106814237432
7184,john_lord,0.106371173253
5073,h_g_herbert_george_wells,0.106250190287
5274,harry_collingwood,0.104224202252
6655,jane_austen,0.10318112302
10093,richard_hakluyt,0.101971510691
5133,h_rider_henry_rider_haggard,0.101312392095
5710,herbert_george_wells,0.100983771262
4441,geoffrey_chaucer,0.100257814196
2802,edgar_rice_burroughs,0.100019582368
1950,charles_robert_darwin,0.0997557255036
683,andrew_lang,0.099281020234
3994,francis_marion_crawford,0.0990636618445
2047,charlotte_mary_yonge,0.0982761612268
282,albert_bigelow_paine,0.0977924862067
8617,mark_twain,0.0977145244556
3042,edward_phillips_oppenheim,0.0974506478343
1876,charles_king,0.0966156312481
1228,benjamin_disraeli,0.096415728309
10883,stanley_john_weyman,0.095946317958
1379,bret_harte,0.0955182099489
7046,john_galsworthy,0.0933473624207
11155,thomas_aquinas,0.0932340847471
5299,harry_lorrequer,0.0931728079171
8820,mary_roberts_rinehart,0.093091625749
8275,luise_muhlbach,0.0929728852209
6383,james_boswell,0.0922462267756
904,arnold_bennett,0.091588935717
11477,united_states_copyright_office_library_of_congress_copyright_office,0.0912947911274
12140,william_dean_howells,0.0912294838369
5180,hamlin_garland,0.0901822753585
9179,mrs_humphry_ward,0.0896803743589
12377,william_makepeace_thackeray,0.0891831953204
700,angela_brazil,0.0891201996175
5740,herman_melville,0.0891159715854
12532,william_wilkie_collins,0.0890038892199
1567,captain_maynereid,0.0884592633631
12616,zane_grey,0.0882595283598
10940,stewart_edward_white,0.0881045729584
11501,unknown,0.0873845627973
6667,jane_morgan,0.0871613167743
3379,emerson_hough,0.0869602284056
2043,charlotte_m_charlotte_mary_yonge,0.0866629720634
6569,james_oliver_curwood,0.0853022471005
10156,rider_haggard,0.0850869138198
3387,emile_gaboriau,0.0850570409948
6306,jack_london,0.0846677755611
9789,plutarch,0.0845189448791
10094,richard_harding_davis,0.0843281005976
8977,michael_angelo_titmarsh,0.0839626326624
9034,mile_zola,0.083905455443
