first,second,preferred
adolf streckfuss,adolph streckfuss,adolf streckfuss
aischylos,aeschylus,aeschylus
albert r teichner,albert teichner,albert teichner
albrecht duerer,albrecht durer,albrecht durer
alexander hewat,alexander hewatt,alexander hewat
alexander hewat,alexander hewatt,alexander hewat
a alexander mackenzie,alexander mackenzie,alexander mackenzie
alexander mclaren,alexander maclaren,alexander maclaren
alexander mclaren,alexander maclaren,alexander maclaren
alexander mclaren,alexander maclaren,alexander maclaren
alexander mclaren,alexander maclaren,alexander maclaren
alexander maclaren,alexander mclaren,alexander maclaren
alexander maclaren,alexander mclaren,alexander maclaren
alexander maclaren,alexander mclaren,alexander maclaren
alexander maclaren,alexander mclaren,alexander maclaren
alexander maclaren,alexander mclaren,alexander maclaren
alexander maclaren,alexander mclaren,alexander maclaren
alexander maclaren,alexander mclaren,alexander maclaren
alexander dumas,alexandre dumas,alexandre dumas
alexander dumas,alexandre dumas,alexandre dumas
anna sewell,ana sewell,anna sewell
ana sewell,anna sewell,anna sewell
anna richmond warner french,anne richmond warner french,anna richmond warner french
anton pavlovich chekhov,anton pavlovich chekov,anton chekhov
anton pavlovich chekhov,anton pavlovich chekov,anton chekhov
anton pavlovich chekhov,anton pavlovich chekov,anton chekhov
afra behn,aphra behn,aphra behn
archibald henry grimke,archibald henry grimk,archibald grimke
archibald henry grimk,archibald henry grimke,archibald grimke
arsenearnaud claretie,arsnearnaud claretie,arsne arnaud claretie
augusta evans wilson,augusta j evans wilson,augusta evans wilson
augusta groner,auguste groner,augusta groner
b f johnson,ben johnson,benjamin f johnson
b benjamin disraeli,benjamin disraeli,benjamin disraeli
b benjamin disraeli,benjamin disraeli,benjamin disraeli
b benjamin disraeli,benjamin disraeli,benjamin disraeli
b bernard mandeville,bernard mandeville,bernard mandeville
bjrnstjerne bjrnson,bjornstjerne bjornson,bjornstjerne bjornson
bjrnstjerne bjrnson,bjornstjerne bjornson,bjornstjerne bjornson
bjrnstjerne bjrnson,bjornstjerne bjornson,bjornstjerne bjornson
bjornstjerne bjornson,bjrnstjerne bjrnson,bjornstjerne bjornson
bjornstjerne bjornson,bjrnstjerne bjrnson,bjornstjerne bjornson
bjornstjerne bjornson,bjrnstjerne bjrnson,bjornstjerne bjornson
bjornstjerne bjornson,bjrnstjerne bjrnson,bjornstjerne bjornson
bjornstjerne bjornson,bjrnstjerne bjrnson,bjornstjerne bjornson
bjornstjerne bjornson,bjrnstjerne bjrnson,bjornstjerne bjornson
b booth tarkington,booth tarkington,booth tarkington
charles gore,c charles gore,charles gore
captain marryatt,captain marryat,frederick marryat
captain marryatt,captain marryat,frederick marryat
captain marryat,captain marryatt,frederick marryat
captain marryat,captain marryatt,frederick marryat
c charles bradlaugh,charles bradlaugh,charles bradlaugh
c charles bradlaugh,charles bradlaugh,charles bradlaugh
c charles bradlaugh,charles bradlaugh,charles bradlaugh
charles hitchcock sherrill,charles h hitchcock sherrill,charles hitchcock sherrill
c charles kingsley,charles kingsley,charles kingsley
c charles kingsley,charles kingsley,charles kingsley
c charles kingsley,charles kingsley,charles kingsley
charles thodore henri de coster,charles thodore henri decoster,charles de coster
charlotteelisabeth orleans,charlotteelisabeth orlans,charlotte elisabeth orlans
charlotteelisabeth orlans,charlotteelisabeth orleans,charlotte elisabeth orlans
christopher marlow,christopher marl,christopher marlowe
christopher marl,christopher marloe,christopher marlowe
christopher marl,christopher marloe,christopher marlowe
christopher marloe,christopher marlow,christopher marlowe
christopher marloe,christopher marlow,christopher marlowe
cincinnatus heine miller,cincinnatus hiner miller,cincinnatus hiner miller
coppee franois coppe,coppe franois coppe,francois coppee
coppe franois coppe,coppee franois coppe,francois coppee
dostoevsky,dostoievski,dostoevsky
dostoievski,dostoyevsky,dostoevsky
arnold bennett,e arnold bennett,arnold bennett
edgar allen poe,edgar allan poe,edgar allan poe
edgar allen poe,edgar allan poe,edgar allan poe
edgar allan poe,edgar allen poe,edgar allan poe
edgar allan poe,edgar allen poe,edgar allan poe
edgar allan poe,edgar allen poe,edgar allan poe
e edith nesbit,edith nesbit,edith nesbit
e edith nesbit,edith nesbit,edith nesbit
edmund spencer,edmund spenser,edmund spenser
eduardo peple,edward peple,edward peple
elizabeth barrettbrowning,elizabeth barrett browning,elizabeth barrett browning
elizabeth barrett browning,elizabeth barrettbrowning,elizabeth barrett browning
elizabeth barrett browning,elizabeth barrettbrowning,elizabeth barrett browning
elliot odonnell,elliott odonnell,elliott o donnell
mile gaboriau,emile gaboriau,emile gaboriau
immanuel kant,emmanuel kant,immanuel kant
ernest setonthompson,ernest setonthomson,ernest seton thompson
etiennelon mothelangon,etiennelon lamothelangon,etienne leon
eugne sue,eugene sue,eugene sue
eugne sue,eugene sue,eugene sue
eugne sue,eugene sue,eugene sue
eugne sue,eugene sue,eugene sue
eugne sue,eugene sue,eugene sue
eugne sue,eugene sue,eugene sue
eugne sue,eugene sue,eugene sue
eugne sue,eugene sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
eugene sue,eugne sue,eugene sue
e evelyn everettgreen,evelyn everettgreen,evelyn everett green
franz liszt,f franz liszt,franz liszt
fedor mikhailovitch dostoievski,fdor mikhailovitch dostoievski,dostoevsky
f francis parkman,francis parkman,francis parkman
f francis parkman,francis parkman,francis parkman
f francis parkman,francis parkman,francis parkman
franois marie arouet,francois marie arouet,voltaire
francois marie arouet,franois marie arouet,voltaire
francis rabelais,franois rabelais,francois rabelais
f franz liszt,franz liszt,franz liszt
frederick augustus washington bailey,frederick augustus washington baly,frederick douglass
frederic s frederic stewart isham,frederick s frederick stewart isham,frederick stewart isham
frederick spencer hamilton,frederick spenser hamilton,frederick spenser hamilton
frederic william farrar,frederick william farrar,frederic william farrar
frederick pohl,frederik pohl,frederik pohl
f friedrich bente,friedrich bente,friedrich bente
f friedrich bente,friedrich bente,friedrich bente
friedrich heinrich karl mottefouque,friedrich heinrich karl mottefouqu,friedrich heinrich karl
friedrich heinrich karl mottefouque,friedrich heinrich karl mottefouqu,friedrich heinrich karl
friedrich heinrich karl mottefouqu,friedrich heinrich karl mottefouque,friedrich heinrich karl
friedrich heinrich karl mottefouqu,friedrich heinrich karl mottefouque,friedrich heinrich karl
friedrich heinrich karl mottefouqu,friedrich heinrich karl mottefouque,friedrich heinrich karl
firth scott,g firth scott,firth scott
george farquhar,g george farquhar,george farquhar
g l vandenberg,g l vandenburg,g l vandenberg
jeffrey chaucer,geoffrey chaucer,geoffrey chaucer
george berkley,george berkeley,george berkeley
george berkeley,george berkley,george berkeley
g george farquhar,george farquhar,george farquhar
george gilbert aim murray,george gilbert aime murray,george gilbert aime murray
george gordon nol byron byron,george gordon noel byron byron,lord byron
george gordon nol byron byron,george gordon noel byron byron,lord byron
george muller,george mller,george muller
george mller,george muller,george muller
george mller,george muller,george muller
gustav freytag,gustav freitag,gustav Freytag
gustav kobbe,gustav kobb,gustav kobb
gustav kobb,gustav kobbe,gustav kobb
burford delannoy,h burford delannoy,burford delannoy
hlne adeline guerber,helene adeline guerber,helene adeline guerber
h henri bergson,henri bergson,henri bergson
harry castlemon,henry castlemon,harry castlemon
harry castlemon,henry castlemon,harry castlemon
harry castlemon,henry castlemon,harry castlemon
h henry hunt,henry hunt,henry hunt
henry c wood,henry wood,henry wood
herman melville,hermann melville,herman melville
herman melville,hermann melville,herman melville
herman melville,hermann melville,herman melville
herman melville,hermann melville,herman melville
herman melville,hermann melville,herman melville
herman sudermann,hermann sudermann,hermann sudermann
herman sudermann,hermann sudermann,hermann sudermann
hildegard g frey,hildegarde g frey,hildegard g frey
homer eon flindt,homer eon flint,homer eon flint
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honore de balzac,honor de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
honor de balzac,honore de balzac,honore de balzac
emmanuel kant,immanuel kant,immanuel kant
i isaac disraeli,isaac disraeli,isaac disraeli
i isaac watts,isaac watts,isaac watts
i israel zangwill,israel zangwill,israel zangwill
john ruskin,j john ruskin,john ruskin
jonathan swift,j jonathan swift,jonathan swift
jonathan swift,j jonathan swift,jonathan swift
jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france
jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france
jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france
jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france
jacquesanatolefrancois thibault,jacquesanatolefranois thibault,anatole france
jacquesanatolefrancois thibault,jacquesanatolefranois thibault,anatole france
jacquesanatolefrancois thibault,jacquesanatolefranois thibault,anatole france
jean lang,jeanie lang,jeanie lang
jeanette augustus marks,jeannette augustus marks,jeannette augustus marks
geoffrey chaucer,jeffrey chaucer,geoffrey chaucer
geoffrey chaucer,jeffrey chaucer,geoffrey chaucer
geoffrey chaucer,jeffrey chaucer,geoffrey chaucer
geoffrey chaucer,jeffrey chaucer,geoffrey chaucer
jeffery farnol,jeffrey farnol,jeffery farnol
john eleazer remsberg,john eleazer remsburg,john remsburg
j john finnemore,john finnemore,john finnemore
john fisk,john fiske,john fiske
john flecher,john fletcher,john fletcher
john t frost,john frost,john frost
j john kincaid,john kincaid,john kincaid
john lock,john locke,john locke
j john marshall,john marshall,john marshall
john mclean,john mlean,john mclean
j john ruskin,john ruskin,john ruskin
j john ruskin,john ruskin,john ruskin
j john ruskin,john ruskin,john ruskin
j john ruskin,john ruskin,john ruskin
j john ruskin,john ruskin,john ruskin
j john ruskin,john ruskin,john ruskin
j john ruskin,john ruskin,john ruskin
j john ruskin,john ruskin,john ruskin
j jonathan swift,jonathan swift,jonathan swift
j jonathan swift,jonathan swift,jonathan swift
j jonathan swift,jonathan swift,jonathan swift
j jonathan swift,jonathan swift,jonathan swift
george santayana,jorge santayana,george santayana
jariskarl huysmans,joris karl huysmans,joris karl huysmans
jzef konrad teodor korzeniowski,jozef konrad teodor korzeniowski,joseph conrad
jzef konrad teodor korzeniowski,jozef konrad teodor korzeniowski,joseph conrad
jzef konrad teodor korzeniowski,jozef konrad teodor korzeniowski,joseph conrad
jules gabril verne,jules gabriel verne,jules verne
jules gabril verne,jules gabriel verne,jules verne
jules gabril verne,jules gabriel verne,jules verne
jules gabril verne,jules gabriel verne,jules verne
jules gabriel verne,jules gabril verne,jules verne
jules gabriel verne,jules gabril verne,jules verne
jules gabriel verne,jules gabril verne,jules verne
jules gabriel verne,jules gabril verne,jules verne
jozef konrad teodor korzeniowski,jzef konrad teodor korzeniowski,joseph conrad
jozef konrad teodor korzeniowski,jzef konrad teodor korzeniowski,joseph conrad
carl ewald,karl ewald,carl ewald
k kate greenaway,kate greenaway,kate greenaway
klara muller mundt,klara mller mundt,klara mundt
klara muller mundt,klara mller mundt,klara mundt
klara mller mundt,klara muller mundt,klara mundt
klara mller mundt,klara muller mundt,klara mundt
lewis goldsmith,l lewis goldsmith,lewis goldsmith
luise mhlbach,l luise mhlbach,luise muhlbach
l luise mhlbach,l luise muhlbach,luise muhlbach
l t mead,l t meade,l t meade
winifred faraday,l winifred faraday,lucy faraday
laurence housman,lawrence housman,laurence housman
lon paul blout,leon paul blouet,leon paul blouet
l lewis goldsmith,lewis goldsmith,lewis goldsmith
l lewis goldsmith,lewis goldsmith,lewis goldsmith
lew wallace,lewis wallace,lewis wallace
l lily dougall,lily dougall,lily dougall
l lily dougall,lily dougall,lily dougall
lois bates,los bates,lois bates
louisa de la rame,louise de la rame,louise de la ramee
louise de la rame,louise de la ramee,louise de la ramee
l louise lamprey,louise lamprey,louise lamprey
ludovic halvy,ludovic halevy,ludovic halevy
ludovic halevy,ludovic halvy,ludovic halevy
l ludovic halvy,ludovic halvy,ludovic halevy
l ludwig tieck,ludwig tieck,ludwig tieck
ludwig van beethoven,ludwig von beethoven,beethoven
louise mhlbach,luise mhlbach,luise muhlbach
lola kirschner,lula kirschner,aloisia Kirchner
franois guizot,m franois guizot,francois guizot
m franois guisot,m franois guizot,francois guizot
margaret sydney,margaret sidney,margaret sidney
margaret sidney,margaret sydney,margaret sidney
margratia loudon,margracia loudon,margracia loudon
margracia loudon,margratia loudon,margracia loudon
margracia loudon,margratia loudon,margracia loudon
marie louise ram,maria louise rame,ouida
maria corelli,marie corelli,marie corelli
marie thrse louise de savoiecarignan lamballe,marie therese louise de savoiecarignan lamballe,marie louise
marie therese louise de savoiecarignan lamballe,marie thrse louise de savoiecarignan lamballe,marie louise
maksim gorky,maxim gorky,maxim gorky
m michael faraday,michael faraday,michael faraday
michel de montagne,michel de montaigne,michel de montaigne
michel de montagne,michel de montaigne,michel de montaigne
michel de montagne,michel de montaigne,michel de montaigne
emile gaboriau,mile gaboriau,emile gaboriau
emile gaboriau,mile gaboriau,emile gaboriau
emile gaboriau,mile gaboriau,emile gaboriau
emile souvestre,mile souvestre,emile souvestre
mr jkai,mor jokai,mor jokai
mor jokai,mr jkai,mor jokai
neltje blanchon,neltje blanchan,neltje blanchon
n nicholas rowe,nicholas rowe,nicholas rowe
oliphant mrs margaret oliphant,olyphant mrs margaret oliphant,margaret oliphant
p percival leigh,percival leigh,percival leigh
philip dodderidge,philip doddridge,philip dodderidge
philip jos farmer,philip jose farmer,philip jose farmer
philip parker king,phillip parker king,phillip parker king
pierre alexandre douard fleury de chaboulon,pierre alexandre edouard fleury de chaboulon,pierre alexandre edouard fleury de chaboulon
prosper merimee,prosper mrime,prosper merimee
r randolph caldecott,randolph caldecott,randolph caldecott
raphael holynshed,raphael holingshed,raphael holinshed
raphael holinshed,raphaell holinshed,raphael holinshed
raphael holinshed,raphaell holinshed,raphael holinshed
rene bazin,ren bazin,rene bazin
rene bazin,ren bazin,rene bazin
rene bazin,ren bazin,rene bazin
ren bazin,rene bazin,rene bazin
ren bazin,rene bazin,rene bazin
rhodes apollonius,rhodius apollonius,rhodius apollonius
rhodes apollonius,rhodius apollonius,rhodius apollonius
richard hakluyt,richard hackluyt,richard hakluyt
richard hakluyt,richard hackluyt,richard hakluyt
richard hakluyt,richard hackluyt,richard hakluyt
richard hackluyt,richard hakluyt,richard hakluyt
richard hackluyt,richard hakluyt,richard hakluyt
richard hackluyt,richard hakluyt,richard hakluyt
richard hackluyt,richard hakluyt,richard hakluyt
r richard wagner,richard wagner,richard wagner
robert w rogers,robert rogers,robert rogers
robert sidney bowen,robert sydney bowen,robert sidney bowen
robert a watson,robert watson,robert watson
r rose macaulay,rose macaulay,rose macaulay
r rudyard kipling,rudyard kipling,rudyard kipling
r rudyard kipling,rudyard kipling,rudyard kipling
s sabine baringgould,sabine baringgould,sabine baringgould
s sabine baringgould,sabine baringgould,sabine baringgould
s sabine baringgould,sabine baringgould,sabine baringgould
samual hall young,samuel hall young,samuel hall young
s samuel lover,samuel lover,samuel lover
sarah tytler,sara tytler,sarah tytler
sara tytler,sarah tytler,sarah tytler
sara tytler,sarah tytler,sarah tytler
snorro sturleson,snorri sturluson,snorri sturluson
stephen ostrander,stephen m ostrander,stephen ostrander
stephen ostrander,stephen m ostrander,stephen ostrander
t de witt thomas de witt talmage,t dewitt thomas de witt talmage,thomas de witt talmage
hall caine,t hall caine,hall caine
hall caine,t hall caine,hall caine
hall caine,t hall caine,hall caine
thomas carlyle,t thomas carlyle,thomas carlyle
thomas carlyle,t thomas carlyle,thomas carlyle
thomas carlyle,t thomas carlyle,thomas carlyle
thomas carlyle,t thomas carlyle,thomas carlyle
thomas carlyle,t thomas carlyle,thomas carlyle
thomas carlyle,t thomas carlyle,thomas carlyle
thomas clarkson,t thomas clarkson,thomas clarkson
t tobias smollett,t tobias smollet,tobias smollet
