,etext,author,book,url
0,12424,livingston  an,the trail of the tramp  by ano 1 the famous tramp written by himself from actual experiences of his own life,raw/12424/pg12424.txt.utf8
1,35260,omar khayyam,rubiyt of omar khayyam rendered into english verse,raw/35260/pg35260.txt.utf8
2,25761,clairvaux bernard,st bernard of clairvauxs life of st malachy of armagh,raw/25761/pg25761.txt.utf8
3,7959,gaius cornelius tacitus,the reign of tiberius out of the first six annals of tacitus  with his account of germany and life of agricola,raw/7959/pg7959.txt.utf8
4,2484,plutarch,the boys and girls plutarch  being parts of the lives of plutarch edited for boys and girls,raw/2484/pg2484.txt.utf8
5,35811,mechthild of magdeburg,matelda and the cloister of hellfde  extracts from the book of matilda of magdeburg,raw/35811/pg35811.txt.utf8
6,6032,geoffroi de villehardouin,memoirs or chronicle of the fourth crusade and the conquest of constantinople,raw/6032/pg6032.txt.utf8
7,18299,sturla thordarson,the norwegian account of hacos expedition against scotland ad mcclxiii,raw/18299/pg18299.txt.utf8
8,1002,dante alighieri,divine comedy longfellows translation purgatory,raw/1002/pg1002.txt.utf8
9,8779,dante alighieri,the divine comedy by dante illustrated hell volume 01,raw/8779/pg8779.txt.utf8
10,1996,dante alighieri,the divine comedy volume 2 purgatory,raw/1996/pg1996.txt.utf8
11,8781,alighieri dante alighieri,the divine comedy by dante illustrated hell volume 03,raw/8781/pg8781.txt.utf8
12,8784,alighieri dante alighieri,the divine comedy by dante illustrated hell volume 06,raw/8784/pg8784.txt.utf8
13,1005,dante alighieri,divine comedy carys translation hell,raw/1005/pg1005.txt.utf8
14,8800,dante alighieri,the divine comedy by dante illustrated,raw/8800/pg8800.txt.utf8
15,8785,dante alighieri,the divine comedy by dante illustrated hell volume 07,raw/8785/pg8785.txt.utf8
16,8798,dante alighieri,the divine comedy by dante illustrated paradise volume 3,raw/8798/pg8798.txt.utf8
17,8796,dante alighieri,the divine comedy by dante illustrated paradise volume 1,raw/8796/pg8796.txt.utf8
18,1995,alighieri dante alighieri,the divine comedy volume 1 hell,raw/1995/pg1995.txt.utf8
19,18755,thomas aquinas,summa theologica part iiii secunda secundae  translated by fathers of the english dominican province,raw/18755/pg18755.txt.utf8
20,19950,thomas aquinas,summa theologica part iii tertia pars  from the complete american edition,raw/19950/pg19950.txt.utf8
21,22295,aquinas thomas,on prayer and the contemplative life,raw/22295/pg22295.txt.utf8
22,17650,petrarch,the sonnets triumphs and other poems of petrarch,raw/17650/pg17650.txt.utf8
23,23700,giovanni boccacci,the decameron of giovanni boccaccio,raw/23700/pg23700.txt.utf8
24,8782,alighieri dante alighieri,the divine comedy by dante illustrated hell volume 04,raw/8782/pg8782.txt.utf8
25,8787,alighieri dante alighieri,the divine comedy by dante illustrated hell volume 09,raw/8787/pg8787.txt.utf8
26,8792,dante alighieri,the divine comedy by dante illustrated purgatory volume 3,raw/8792/pg8792.txt.utf8
27,41537,dante alighieri,the divine comedy of dante alighieri  the inferno,raw/41537/pg41537.txt.utf8
