Wolfensberger Arnold,Theory of Silk WeavingA Treatise on the Construction and Application of Weaves and the Decomposition and Calculation of Broad and Narrow Plain Novelty and Jacquard Silk Fabrics,http://www.gutenberg.org/etext/14600
Shenstone W A,The Methods of Glass Blowing and of Working Silica in the OxyGas FlameFor the use of chemical and physical students,http://www.gutenberg.org/etext/33941
Cooper Grace Rogers,The Scholfield WoolCarding Machines,http://www.gutenberg.org/etext/27137
Beeton Mrs 18361865 Isabella Mary,The Book of Household Management,http://www.gutenberg.org/etext/10136
Campbell Mark 19th cent,SelfInstructor in the Art of Hair Work Dressing Hair Making Curls Switches Braids and Hair Jewelry of Every Description,http://www.gutenberg.org/etext/38658
Wheeler Candace 18271923,The Development of Embroidery in America,http://www.gutenberg.org/etext/24165
Campbell Alexander 18221892,General Instructions For The Guidance Of Post Office Inspectors In The Dominion Of Canada,http://www.gutenberg.org/etext/19414
Brine Mary D Mary Dow,How quotA Dear Little Couplequot Went Abroad,http://www.gutenberg.org/etext/39806
Gilson Charles 18781943,Across the CameroonsA Story of War and Adventure,http://www.gutenberg.org/etext/39185
Hearne Samuel 17451792,A Journey from Prince of Waless Fort in Hudsons Bay to the Northern Ocean in the Years 1769 1770 1771 1772New Edition with Introduction Notes and Illustrations,http://www.gutenberg.org/etext/38404
Unknown,Zanzibar TalesTold by natives of the East Coast of Africa,http://www.gutenberg.org/etext/37472
Burpee Lawrence J 18731946 Lawrence Johnstone,Among the Canadian Alps,http://www.gutenberg.org/etext/36249
Train George Francis,My Life in Many States and in Foreign LandsDictated in My SeventyFourth Year,http://www.gutenberg.org/etext/38265
Glazier Willard W 18411905,Ocean to Ocean on HorsebackBeing the Story of a Tour in the Saddle from the Atlanticto the Pacific with Especial Reference to the Early Historyand Devel,http://www.gutenberg.org/etext/37615
Columbus Christopher 14511506,The Letters of Amerigo Vespucciand other documents illustrative of his career,http://www.gutenberg.org/etext/36924
Wied Maximilian Prinz von 17821867,Travels in the Interior of North America Part I Being Chapters IXV of the London Edition 1843Early Western Travels 17481846 Volume XXII,http://www.gutenberg.org/etext/38784
Thwaites Reuben Gold 18531913,Historic WaterwaysSix Hundred Miles of Canoeing Down the Rock Fox and Wisconsin Rivers,http://www.gutenberg.org/etext/38556
Bailey Washington,A Trip to California in 1853Recollections of a Gold Seeking Trip by Ox Train across the Plains and Mountains by an Old Illinois Pioneer,http://www.gutenberg.org/etext/38351
Reese H B,Some Pioneers and Pilgrims on the Prairies of DakotaOr From the ox team to the aeroplane,http://www.gutenberg.org/etext/37765
Champlain Samuel de 15741635,Voyages of Samuel De Champlain  Volume 01,http://www.gutenberg.org/etext/6653
Hyde John,Wonderland or Alaska and the Inside PassageWith a Description of the Country Traversed by the NorthernPacific Railroad,http://www.gutenberg.org/etext/36435
Young Samual Hall 18471927,Alaska Days with John Muir,http://www.gutenberg.org/etext/30697
Stuck Hudson 18631920,The Ascent of Denali Mount McKinleyA Narrative of the First Complete Ascent of the HighestPeak in North America,http://www.gutenberg.org/etext/26059
Mudge Zachariah Atwell,NorthPole Voyages,http://www.gutenberg.org/etext/39013
Stables Gordon 18401910,Wild Adventures round the PoleThe Cruise of the quotSnowbirdquot Crew in the quotArrandoonquot,http://www.gutenberg.org/etext/38296
Howe Julia Ward 18191910,A Trip to Cuba,http://www.gutenberg.org/etext/38203
Steel William Gladstone 18541934,The Mountains of Oregon,http://www.gutenberg.org/etext/36746
Bass William Wallace 18481933,Adventures in the Canyons of the ColoradoBy two of its earliest explorers,http://www.gutenberg.org/etext/35268
Bird Isabella L 18311904 Isabella Lucy,Journeys in Persia and Kurdistan Volume I of 2Including a Summer in the Upper Karun Region and a Visitto the Nestorian Rayahs,http://www.gutenberg.org/etext/38827
May Karl 18421912,Travel Tales in the Promised Land Palestine,http://www.gutenberg.org/etext/25729
Stevenson Robert Louis 18501894,Essays of Travel,http://www.gutenberg.org/etext/627
Field Henry M 18221907 Henry Martyn,From Egypt to Japan,http://www.gutenberg.org/etext/39474
Whymper Frederick,The Sea Its Stirring Story of Adventure Peril and Heroism Volume 2,http://www.gutenberg.org/etext/39342
