,first,second,preferred,
0,adolf streckfuss,adolph streckfuss,adolf streckfuss,
2,aischylos,aeschylus,aeschylus,
3,albert r teichner,albert teichner,albert teichner,
4,albrecht duerer,albrecht durer,albrecht durer,
5,alexander hewat,alexander hewatt,alexander hewat,
6,alexander hewat,alexander hewatt,alexander hewat,
7,a alexander mackenzie,alexander mackenzie,alexander mackenzie,
8,alexander mclaren,alexander maclaren,alexander maclaren,
9,alexander mclaren,alexander maclaren,alexander maclaren,
10,alexander mclaren,alexander maclaren,alexander maclaren,
11,alexander mclaren,alexander maclaren,alexander maclaren,
12,alexander maclaren,alexander mclaren,alexander maclaren,
13,alexander maclaren,alexander mclaren,alexander maclaren,
14,alexander maclaren,alexander mclaren,alexander maclaren,
15,alexander maclaren,alexander mclaren,alexander maclaren,
16,alexander maclaren,alexander mclaren,alexander maclaren,
17,alexander maclaren,alexander mclaren,alexander maclaren,
18,alexander maclaren,alexander mclaren,alexander maclaren,
19,alexander dumas,alexandre dumas,alexandre dumas,
20,alexander dumas,alexandre dumas,alexandre dumas,
21,anna sewell,ana sewell,anna sewell,
22,ana sewell,anna sewell,anna sewell,
23,anna richmond warner french,anne richmond warner french,anna richmond warner french,
24,anton pavlovich chekhov,anton pavlovich chekov,anton chekhov,
25,anton pavlovich chekhov,anton pavlovich chekov,anton chekhov,
26,anton pavlovich chekhov,anton pavlovich chekov,anton chekhov,
27,afra behn,aphra behn,aphra behn,
28,archibald henry grimke,archibald henry grimk,archibald grimke,
29,archibald henry grimk,archibald henry grimke,archibald grimke,
30,arsenearnaud claretie,arsnearnaud claretie,arsne arnaud claretie,
31,augusta evans wilson,augusta j evans wilson,augusta evans wilson,
32,augusta groner,auguste groner,augusta groner,
33,b f johnson,ben johnson,benjamin f johnson,
34,b benjamin disraeli,benjamin disraeli,benjamin disraeli,
35,b benjamin disraeli,benjamin disraeli,benjamin disraeli,
36,b benjamin disraeli,benjamin disraeli,benjamin disraeli,
37,b bernard mandeville,bernard mandeville,bernard mandeville,
38,bjrnstjerne bjrnson,bjornstjerne bjornson,bjornstjerne bjornson,
39,bjrnstjerne bjrnson,bjornstjerne bjornson,bjornstjerne bjornson,
